bioproject,biosample,sra,lat_start,lat_end,long_start,long_end,size_low,size_up,nitrate,Chlorophyll,oxy,Salinity,temperature,depth,coor1,coor2,size
PRJEB6609,SAMEA2656979,ERR1740136,-62.0773,-62.0847,-49.4534,-49.4396,180,2000,27.501159,0.065273,343.4373,34.35388,0.67108,5,latitudeN=-62.0773,longitudeE=-49.4534,(180-2000)
PRJEB6609,SAMEA2622130,ERR1740132,-12.9723,-12.9226,-96.0122,-96.0932,0.8,5,1.501977,0.366887,216.790338,35.544655,20.649431,50,latitudeN=-12.9723,longitudeE=-96.0122,(0.8-5)
PRJEB6609,SAMEA2732468,ERR1740129,-44.5582,-44.5617,-52.2718,-52.2614,20,180,3.3458,0.419259,258.1152,34.70996,13.40034,35,latitudeN=-44.5582,longitudeE=-52.2718,(20-180)
PRJEB6609,SAMEA2732412,ERR1740128,-54.3826,-54.3833,-65.051,-65.0135,180,2000,11.003731,0.248632,293.312667,32.945667,7.3549,5,latitudeN=-54.3826,longitudeE=-65.051,(180-2000)
PRJEB6609,SAMEA2657044,ERR1740131,-12.9214,-12.9127,-96.0953,-96.109,180,2000,0.369746,0.389897,224.853222,35.43615,19.431989,50,latitudeN=-12.9214,longitudeE=-96.0953,(180-2000)
PRJEB6609,SAMEA2622130,ERR1740118,-12.9723,-12.9226,-96.0122,-96.0932,0.8,5,1.501977,0.366887,216.790338,35.544655,20.649431,50,latitudeN=-12.9723,longitudeE=-96.0122,(0.8-5)
PRJEB6609,SAMEA2732468,ERR1740122,-44.5582,-44.5617,-52.2718,-52.2614,20,180,3.3458,0.419259,258.1152,34.70996,13.40034,35,latitudeN=-44.5582,longitudeE=-52.2718,(20-180)
PRJEB6609,SAMEA2732401,ERR1740116,-44.5455,-44.5307,-52.3242,-52.5307,180,2000,3.410581,0.474985,257.677071,34.721193,13.376321,35,latitudeN=-44.5455,longitudeE=-52.3242,(180-2000)
PRJEB6609,SAMEA2621362,ERR1740138,-44.5342,-44.539,-52.455,-52.4083,0.8,5,1.855595,0.283346,252.602583,34.893425,13.8644,5,latitudeN=-44.5342,longitudeE=-52.455,(0.8-5)
PRJEB6609,SAMEA2656979,ERR1740124,-62.0773,-62.0847,-49.4534,-49.4396,180,2000,27.501159,0.065273,343.4373,34.35388,0.67108,5,latitudeN=-62.0773,longitudeE=-49.4534,(180-2000)
PRJEB6609,SAMEA2621523,ERR1740130,-62.0385,-62.1363,-49.529,-49.3331,0.8,5,27.501159,0.065273,343.4373,34.35388,0.67108,5,latitudeN=-62.0385,longitudeE=-49.529,(0.8-5)
PRJEB6609,SAMEA2621362,ERR1740127,-44.5342,-44.539,-52.455,-52.4083,0.8,5,1.855595,0.283346,252.602583,34.893425,13.8644,5,latitudeN=-44.5342,longitudeE=-52.455,(0.8-5)
PRJEB6609,SAMEA2621523,ERR1740133,-62.0385,-62.1363,-49.529,-49.3331,0.8,5,27.501159,0.065273,343.4373,34.35388,0.67108,5,latitudeN=-62.0385,longitudeE=-49.529,(0.8-5)
PRJEB6609,SAMEA2732401,ERR1740123,-44.5455,-44.5307,-52.3242,-52.5307,180,2000,3.410581,0.474985,257.677071,34.721193,13.376321,35,latitudeN=-44.5455,longitudeE=-52.3242,(180-2000)
PRJEB6609,SAMEA2621470,ERR1740126,-54.3739,-54.3793,-65.1342,-65.0211,0.8,5,11.003731,0.248632,293.312667,32.945667,7.3549,5,latitudeN=-54.3739,longitudeE=-65.1342,(0.8-5)
PRJEB6609,SAMEA2621470,ERR1740125,-54.3739,-54.3793,-65.1342,-65.0211,0.8,5,11.003731,0.248632,293.312667,32.945667,7.3549,5,latitudeN=-54.3739,longitudeE=-65.1342,(0.8-5)
PRJEB6609,SAMEA2732412,ERR1740119,-54.3826,-54.3833,-65.051,-65.0135,180,2000,11.003731,0.248632,293.312667,32.945667,7.3549,5,latitudeN=-54.3826,longitudeE=-65.051,(180-2000)
PRJEB6609,SAMEA2621520,ERR1740115,-62.0385,-62.1363,-49.529,-49.3331,0.8,&gt;,27.501159,0.065273,343.4373,34.35388,0.67108,5,latitudeN=-62.0385,longitudeE=-49.529,(0.8-&gt;)
PRJEB6609,SAMEA2657044,ERR1740140,-12.9214,-12.9127,-96.0953,-96.109,180,2000,0.369746,0.389897,224.853222,35.43615,19.431989,50,latitudeN=-12.9214,longitudeE=-96.0953,(180-2000)
PRJEB6609,SAMEA2621520,ERR1740117,-62.0385,-62.1363,-49.529,-49.3331,0.8,&gt;,27.501159,0.065273,343.4373,34.35388,0.67108,5,latitudeN=-62.0385,longitudeE=-49.529,(0.8-&gt;)
PRJEB6609,SAMEA2732415,ERR1740139,-62.14,-62.1453,-49.3273,-49.3181,20,180,28.881967,0.139594,345.494833,34.351058,0.758658,5,latitudeN=-62.14,longitudeE=-49.3273,(20-180)
PRJEB6609,SAMEA2657068,ERR1740137,-62.1943,-62.1995,-49.2502,-49.242,180,2000,30.517743,0.432668,327.691,34.402633,-0.819633,90,latitudeN=-62.1943,longitudeE=-49.2502,(180-2000)
PRJEB6609,SAMEA2657068,ERR1740134,-62.1943,-62.1995,-49.2502,-49.242,180,2000,30.517743,0.432668,327.691,34.402633,-0.819633,90,latitudeN=-62.1943,longitudeE=-49.2502,(180-2000)
PRJEB6609,SAMEA2732530,ERR1740120,-44.5838,-44.586,-52.1952,-52.1906,5,20,3.227527,0.516494,257.182417,34.73375,13.351458,35,latitudeN=-44.5838,longitudeE=-52.1952,(5-20)
PRJEB6609,SAMEA2732415,ERR1740135,-62.14,-62.1453,-49.3273,-49.3181,20,180,28.881967,0.139594,345.494833,34.351058,0.758658,5,latitudeN=-62.14,longitudeE=-49.3273,(20-180)
PRJEB6609,SAMEA2732530,ERR1740121,-44.5838,-44.586,-52.1952,-52.1906,5,20,3.227527,0.516494,257.182417,34.73375,13.351458,35,latitudeN=-44.5838,longitudeE=-52.1952,(5-20)
PRJEB6609,SAMEA2657077,ERR1739836,-12.9119,-12.904,-96.1101,-96.1216,20,180,3.350768,0.375762,221.370462,35.539612,20.995942,50,latitudeN=-12.9119,longitudeE=-96.1101,(20-180)
PRJEB6609,SAMEA2621337,ERR1739843,-40.6241,-40.6846,-51.9229,-51.8511,0.8,5,1.350935,0.299324,210.6255,35.958367,18.25395,85,latitudeN=-40.6241,longitudeE=-51.9229,(0.8-5)
PRJEB6609,SAMEA2622128,ERR1739848,-12.9723,-12.9226,-96.0122,-96.0932,0.8,&gt;,1.501977,0.366887,216.790338,35.544655,20.649431,50,latitudeN=-12.9723,longitudeE=-96.0122,(0.8-&gt;)
PRJEB6609,SAMEA2621337,ERR1739841,-40.6241,-40.6846,-51.9229,-51.8511,0.8,5,1.350935,0.299324,210.6255,35.958367,18.25395,85,latitudeN=-40.6241,longitudeE=-51.9229,(0.8-5)
PRJEB6609,SAMEA2622128,ERR1739847,-12.9723,-12.9226,-96.0122,-96.0932,0.8,&gt;,1.501977,0.366887,216.790338,35.544655,20.649431,50,latitudeN=-12.9723,longitudeE=-96.0122,(0.8-&gt;)
PRJEB6609,SAMEA2732399,ERR1739844,-40.6154,-40.6202,-51.9351,-51.9277,20,180,1.285311,0.18639,213.061909,36.132947,18.003386,85,latitudeN=-40.6154,longitudeE=-51.9351,(20-180)
PRJEB6609,SAMEA2622132,ERR1739845,-12.9723,-12.9226,-96.0122,-96.0932,5,20,1.501977,0.366887,216.790338,35.544655,20.649431,50,latitudeN=-12.9723,longitudeE=-96.0122,(5-20)
PRJEB6609,SAMEA2732891,ERR1739839,-44.6241,-44.629,-52.1505,-52.147,20,180,3.147093,0.180899,257.786833,34.694317,13.491175,5,latitudeN=-44.6241,longitudeE=-52.1505,(20-180)
PRJEB6609,SAMEA2621339,ERR1739842,-40.6241,-40.6846,-51.9229,-51.8511,5,20,1.350935,0.299324,210.6255,35.958367,18.25395,85,latitudeN=-40.6241,longitudeE=-51.9229,(5-20)
PRJEB6609,SAMEA2621339,ERR1739840,-40.6241,-40.6846,-51.9229,-51.8511,5,20,1.350935,0.299324,210.6255,35.958367,18.25395,85,latitudeN=-40.6241,longitudeE=-51.9229,(5-20)
PRJEB6609,SAMEA2732399,ERR1739846,-40.6154,-40.6202,-51.9351,-51.9277,20,180,1.285311,0.18639,213.061909,36.132947,18.003386,85,latitudeN=-40.6154,longitudeE=-51.9351,(20-180)
PRJEB6609,SAMEA2657077,ERR1739837,-12.9119,-12.904,-96.1101,-96.1216,20,180,3.350768,0.375762,221.370462,35.539612,20.995942,50,latitudeN=-12.9119,longitudeE=-96.1101,(20-180)
PRJEB6609,SAMEA2622132,ERR1739849,-12.9723,-12.9226,-96.0122,-96.0932,5,20,1.501977,0.366887,216.790338,35.544655,20.649431,50,latitudeN=-12.9723,longitudeE=-96.0122,(5-20)
PRJEB6609,SAMEA2732891,ERR1739838,-44.6241,-44.629,-52.1505,-52.147,20,180,3.147093,0.180899,257.786833,34.694317,13.491175,5,latitudeN=-44.6241,longitudeE=-52.1505,(20-180)
PRJEB6609,SAMEA2732099,ERR1719193,31.7432,31.7515,-64.1967,-64.189,180,2000,99999,0.166512,212.5623,36.5996,20.3973,5,latitudeN=31.7432,longitudeE=-64.1967,(180-2000)
PRJEB6609,SAMEA2731788,ERR1719400,35.8913,35.8885,-37.2369,-37.2318,20,180,-0.328716,0.196921,228.375583,36.3123,17.583075,5,latitudeN=35.8913,longitudeE=-37.2369,(20-180)
PRJEB6609,SAMEA2732990,ERR1719350,32.9909,32.9903,-121.8522,-121.8498,20,180,1.67453,0.542857,208.527333,33.466508,15.190325,30,latitudeN=32.9909,longitudeE=-121.8522,(20-180)
PRJEB6609,SAMEA2732797,ERR1719292,31.5237,31.5191,-159.0351,-159.0426,180,2000,0.004868,0.229824,215.266917,34.36455,14.733525,115,latitudeN=31.5237,longitudeE=-159.0351,(180-2000)
