gene_id,ko_id
K00231,K00231
K00261,K00261
K00262,K00262
K00275,K00275
K00357,K00357
K00592,K00592
K00606,K00606
K00662,K00662
K00915,K00915
K01104,K01104
K01158,K01158
K01431,K01431
K01581,K01581
K01596,K01596
K01611,K01611
K01634,K01634
K01647,K01647
K01712,K01712
K02136,K02136
K02866,K02866
K02872,K02872
K02879,K02879
K02885,K02885
K02951,K02951
K03386,K03386
K03661,K03661
K03781,K03781
K03943,K03943
K04078,K04078
K04082,K04082
K04353,K04353
K04392,K04392
K04437,K04437
K04456,K04456
K04564,K04564
K04615,K04615
K04712,K04712
K05699,K05699
K05754,K05754
K05755,K05755
K05757,K05757
K05758,K05758
K05759,K05759
K05760,K05760
K05761,K05761
K05765,K05765
K05767,K05767
K05795,K05795
K06058,K06058
K06072,K06072
K06129,K06129
K06685,K06685
K07253,K07253
K07512,K07512
K07836,K07836
K07889,K07889
K07901,K07901
K07918,K07918
K08064,K08064
K08490,K08490
K08646,K08646
K08647,K08647
K08798,K08798
K08811,K08811
K08838,K08838
K08870,K08870
K09251,K09251
K09419,K09419
K09478,K09478
K09577,K09577
K10356,K10356
K10364,K10364
K10365,K10365
K10413,K10413
K10689,K10689
K11103,K11103
K12174,K12174
K12343,K12343
K12412,K12412
K12462,K12462
K12659,K12659
K12667,K12667
K12868,K12868
K13728,K13728
K13766,K13766
K13806,K13806
K13886,K13886
K13915,K13915
K14455,K14455
K14688,K14688
K15734,K15734
K16297,K16297
K16310,K16310
K17255,K17255
K17260,K17260
K17336,K17336
K17759,K17759
K17839,K17839
K18584,K18584
K18592,K18592
K19704,K19704
K19729,K19729
K19952,K19952
K20121,K20121
K20628,K20628
K20656,K20656
K20689,K20689
K20756,K20756
K21421,K21421
K21889,K21889
K21890,K21890
K22614,K22614
K22754,K22754
K23460,K23460
K23490,K23490
K23503,K23503
K23740,K23740
K23790,K23790
K23905,K23905
K24413,K24413
K24523,K24523
K24524,K24524
K24736,K24736
