station,lat,long,Gym,euk,all,cpm1,cpm2,depth,log
ERR562512,-20.9354,-35.1803,20143,255377,339035,78875.54478,59412.745,5,16.26729044
ERR1756187,-44.5342,-52.455,3600,60782,75493,59228.06094,47686.54047,5,15.85399323
ERR562723,-12.9723,-96.0122,35456,530677,745916,66812.76935,47533.50243,50,16.02783624
ERR1755992,-44.5342,-52.455,3160,54738,67357,57729.54803,46914.20342,5,15.81702231
ERR1756312,-21.4593,54.3041,9417,194020,224456,48536.23338,41954.77065,5,15.56677453
ERR1879875,39.2305,-70.0377,2460,45848,60860,53655.55749,40420.63753,5,15.71143999
ERR1879890,6.3305,-102.9464,3610,82422,95509,43798.98571,37797.48505,5,15.41860984
ERR1879801,39.2305,-70.0377,2582,54774,69404,47139.15361,37202.46672,5,15.52463823
ERR562426,-60.2287,-60.6476,34934,710392,964319,49175.66639,36226.60136,5,15.58565698
ERR562521,-9.1504,-140.5216,6266,144766,174239,43283.64395,35962.09804,5,15.40153434
ERR1879745,6.3305,-102.9464,1578,36398,45605,43354.03044,34601.46914,5,15.4038785
ERR1879818,-11.9873,-151.05,612,16036,17803,38164.13071,34376.22873,5,15.21992971
ERR1879917,-21.146,-104.787,3885,99955,119329,38867.49037,32557.04816,5,15.24627634
ERR1756361,-17.4962,42.2173,3732,97167,114803,38408.10152,32507.86129,5,15.22912303
ERR1756218,-32.7969,-87.086,13189,324057,419894,40699.63,31410.30832,5,15.31272806
ERR1756027,-32.7969,-87.086,1863,46956,63989,39675.44084,29114.37903,5,15.27595863
ERR562519,-29.4991,37.9938,7301,164343,252489,44425.37863,28916.1112,5,15.43909645
ERR1879726,-28.1698,-107.3833,1022,30300,35375,33729.37294,28890.45936,5,15.04171788
ERR562674,37.051,1.9378,12067,298466,420034,40430.06574,28728.62673,5,15.30314093
ERR1756267,-13.0655,46.9692,449,11458,15639,39186.59452,28710.27559,5,15.25807258
ERR1879751,22.7598,-157.9568,11357,288883,401604,39313.4937,28279.10081,5,15.26273696
ERR1879929,-28.1698,-107.3833,1668,50644,59174,32935.78706,28188.05556,5,15.00736841
