ID,geneID
map04810,K03099/K04392/K04456/K05699/K05733/K05754/K05756/K05757/K05758/K05759/K05760/K05765/K05767/K07827/K10352/K17260/K18584/K23612
map04723,K03883/K03940/K03941/K03942/K03943/K03946/K03953/K03955/K04536/K04630/K11352/K11987
map04062,K03099/K04353/K04392/K04456/K04536/K04630/K05760/K07827/K07836
map05208,K00414/K02132/K02136/K03099/K03883/K03940/K03941/K03942/K03943/K03946/K03953/K03955/K04392/K04456/K07827/K11352
map04530,K04353/K04354/K04392/K05699/K05754/K05756/K05757/K05758/K07200/K10352/K17260/K18584
map05135,K04392/K04456/K05754/K05756/K05757/K05758/K05760/K17260/K18584/K23612
map05100,K04392/K05754/K05756/K05757/K05758/K05760/K17260/K18584/K23612
map04932,K00414/K03940/K03941/K03942/K03943/K03946/K03953/K03955/K04392/K04456/K07200/K11352
map05415,K00162/K00414/K02132/K02136/K03883/K03940/K03941/K03942/K03943/K03946/K03953/K03955/K04392/K04456/K11352
map05132,K03094/K04392/K04437/K04456/K05733/K05754/K05756/K05757/K05758/K05759/K07889/K07897/K10413/K17260/K18584/K23612
map04666,K04392/K04456/K05754/K05756/K05757/K05758/K05765/K12562/K17260/K18584
map04714,K00414/K02132/K02136/K03099/K03883/K03940/K03941/K03942/K03943/K03946/K03953/K03955/K07200/K07827/K11352
map04510,K03099/K04353/K04392/K04437/K04456/K05699/K05733/K05760/K06271/K07836
map04015,K04353/K04392/K04456/K04630/K05759/K06271/K07827/K07836/K17700
map04014,K03099/K04353/K04392/K04456/K04536/K05733/K07827/K07836/K07889
map05130,K04392/K05733/K05754/K05756/K05757/K05758/K10352/K10356/K17260/K18584/K21889/K23612
map05131,K03094/K04392/K04456/K05699/K05754/K05756/K05757/K05758/K05759/K05760/K06271/K17260/K18584/K23612
map00190,K00337/K00414/K02132/K02136/K02149/K03661/K03883/K03940/K03941/K03942/K03943/K03946/K03953/K03955/K11352
map05211,K03099/K04353/K04392/K04456/K05733/K07827/K07836
map05163,K03099/K04392/K04456/K04536/K04630/K05760/K07827/K11987
map04144,K05754/K05756/K05757/K05758/K07889/K07897/K10364/K12194/K12493/K12562/K17260/K18463/K18584/K23612
map04722,K03099/K04353/K04392/K04456/K07827/K07836/K12462
map05020,K00414/K02132/K02136/K02599/K02729/K03883/K03940/K03941/K03942/K03943/K03946/K03953/K03955/K04392/K11352
map05010,K00414/K02132/K02136/K02729/K03883/K03940/K03941/K03942/K03943/K03946/K03953/K03955/K04456/K07827/K11352/K11987
map05012,K00414/K02132/K02136/K02729/K03883/K03940/K03941/K03942/K03943/K03946/K03953/K03955/K04630/K08844/K11352
map05170,K03094/K04392/K04456/K04536/K04630/K05733/K05760/K05765/K07827
map05022,K00414/K02132/K02136/K02729/K03883/K03940/K03941/K03942/K03943/K03946/K03953/K03955/K04392/K07827/K08844/K11352/K11987
map05200,K02599/K03094/K03099/K04392/K04456/K04536/K04630/K07827/K11987
map05165,K02149/K02599/K03099/K03661/K04354/K04456/K05760/K07827/K11987
map04010,K03099/K04353/K04392/K04437/K04456/K07827/K07836
map05205,K03099/K04392/K04437/K04456/K05760/K07827
map00280,K01027/K01847/K01965/K01966/K01968/K01969/K09478
map04071,K01634/K04354/K04392/K04456/K04630/K07827
map05014,K00414/K02132/K02136/K02729/K03883/K03940/K03941/K03942/K03943/K03946/K03953/K03955/K04392/K05759/K11352
map04611,K04353/K04456/K04630/K06271/K07836
map01522,K02599/K03099/K04456/K07827
map04725,K04456/K04536/K04630/K07827
map05224,K02599/K03099/K04456/K07827
map04151,K03099/K04354/K04392/K04456/K04536/K07827
map05167,K04392/K04456/K04536/K07827/K11987
map04138,K05754/K05756/K05757/K05758/K07827/K07897/K17260/K18584
map05210,K03099/K04392/K04456/K07827
map05152,K02040/K03661/K04456/K07889/K07897
map04726,K04536/K04630/K07827/K11987
map04145,K02149/K03661/K04392/K07889/K07897/K10413
map05016,K00414/K02132/K02136/K02729/K03883/K03940/K03941/K03942/K03943/K03946/K03953/K03955/K11352
map04371,K04456/K04536/K04630/K07200/K07827
map04013,K03099/K04392/K05759/K07827
