"gene_id","ko_id"
"TRINITY_DN405311_c0_g1_i1.p1","K00002"
"TRINITY_DN462195_c0_g1_i2.p1","K00003"
"TRINITY_DN119309_c0_g1_i2.p1","K00006"
"TRINITY_DN133966_c0_g2_i2.p1","K00008"
"TRINITY_DN88_c1_g1_i3.p1","K00010"
"TRINITY_DN215515_c0_g1_i1.p1","K00011"
"TRINITY_DN3615_c0_g3_i1.p1","K00012"
"TRINITY_DN475404_c0_g1_i1.p1","K00018"
"TRINITY_DN224505_c0_g1_i2.p1","K00019"
"TRINITY_DN15582_c0_g1_i1.p1","K00020"
"TRINITY_DN224692_c0_g1_i1.p1","K00024"
"TRINITY_DN4147_c1_g1_i2.p1","K00025"
"TRINITY_DN87198_c0_g1_i1.p1","K00026"
"TRINITY_DN415124_c0_g1_i1.p1","K00029"
"TRINITY_DN15670_c1_g3_i1.p1","K00030"
"TRINITY_DN27461_c2_g1_i1.p1","K00031"
"TRINITY_DN35620_c0_g1_i2.p1","K00033"
"TRINITY_DN46822_c0_g1_i1.p1","K00034"
"TRINITY_DN35276_c0_g1_i3.p1","K00036"
"TRINITY_DN22070_c0_g2_i1.p1","K00045"
"TRINITY_DN134575_c0_g1_i2.p1","K00058"
"TRINITY_DN261110_c0_g1_i1.p1","K00059"
"TRINITY_DN324465_c0_g1_i1.p1","K00060"
"TRINITY_DN211559_c0_g1_i1.p1","K00064"
"TRINITY_DN34659_c0_g1_i1.p1","K00074"
"TRINITY_DN58438_c0_g1_i1.p1","K00077"
"TRINITY_DN138344_c0_g1_i1.p1","K00078"
"TRINITY_DN140865_c0_g1_i1.p1","K00079"
"TRINITY_DN24183_c0_g1_i1.p1","K00088"
"TRINITY_DN25836_c0_g2_i1.p1","K00099"
"TRINITY_DN36502_c0_g1_i1.p1","K00101"
"TRINITY_DN391702_c0_g1_i1.p1","K00102"
"TRINITY_DN136887_c0_g2_i1.p1","K00106"
"TRINITY_DN261538_c0_g1_i1.p1","K00108"
"TRINITY_DN7483_c1_g1_i1.p1","K00121"
"TRINITY_DN9357_c0_g1_i1.p1","K00128"
"TRINITY_DN98974_c0_g2_i1.p1","K00130"
"TRINITY_DN98354_c0_g3_i3.p1","K00134"
"TRINITY_DN2479_c0_g1_i3.p1","K00135"
"TRINITY_DN3181_c0_g1_i2.p1","K00140"
"TRINITY_DN31921_c0_g1_i2.p1","K00145"
"TRINITY_DN30733_c0_g2_i1.p1","K00147"
"TRINITY_DN31583_c0_g1_i6.p1","K00154"
"TRINITY_DN62700_c0_g1_i1.p1","K00162"
"TRINITY_DN107184_c0_g2_i1.p1","K00164"
"TRINITY_DN13881_c0_g1_i1.p1","K00166"
"TRINITY_DN56454_c0_g1_i1.p1","K00167"
"TRINITY_DN12666_c1_g1_i2.p2","K00207"
"TRINITY_DN1763_c0_g1_i2.p1","K00208"
"TRINITY_DN3976_c0_g4_i1.p1","K00215"
"TRINITY_DN87986_c1_g1_i1.p1","K00218"
"TRINITY_DN26311_c0_g1_i1.p1","K00223"
"TRINITY_DN69677_c0_g1_i1.p1","K00226"
"TRINITY_DN322150_c0_g1_i1.p1","K00227"
"TRINITY_DN387411_c0_g1_i1.p1","K00228"
"TRINITY_DN86353_c0_g1_i1.p1","K00231"
"TRINITY_DN13559_c0_g1_i1.p1","K00232"
"TRINITY_DN153832_c0_g1_i1.p1","K00234"
"TRINITY_DN2320_c0_g1_i5.p1","K00235"
"TRINITY_DN305340_c0_g1_i1.p1","K00239"
"TRINITY_DN51728_c0_g2_i8.p1","K00249"
"TRINITY_DN5124_c0_g1_i10.p1","K00252"
"TRINITY_DN5064_c0_g4_i1.p1","K00253"
"TRINITY_DN138226_c0_g1_i2.p1","K00254"
"TRINITY_DN50883_c0_g1_i1.p1","K00259"
"TRINITY_DN34832_c0_g1_i1.p1","K00261"
"TRINITY_DN83687_c1_g1_i1.p1","K00265"
"TRINITY_DN42884_c0_g1_i1.p1","K00273"
"TRINITY_DN71859_c0_g1_i2.p1","K00274"
"TRINITY_DN95135_c0_g1_i1.p1","K00275"
"TRINITY_DN67632_c2_g1_i2.p1","K00276"
"TRINITY_DN869_c1_g1_i11.p1","K00281"
"TRINITY_DN45780_c1_g1_i1.p1","K00284"
"TRINITY_DN130152_c0_g2_i1.p1","K00285"
"TRINITY_DN335622_c0_g1_i1.p1","K00286"
"TRINITY_DN453235_c0_g1_i1.p1","K00294"
"TRINITY_DN159549_c0_g1_i1.p1","K00295"
"TRINITY_DN46260_c0_g1_i5.p1","K00297"
"TRINITY_DN137190_c1_g1_i1.p1","K00306"
"TRINITY_DN141875_c0_g1_i1.p1","K00311"
"TRINITY_DN2724_c1_g2_i3.p1","K00314"
"TRINITY_DN3607_c0_g1_i10.p1","K00315"
"TRINITY_DN22027_c0_g1_i1.p1","K00318"
"TRINITY_DN113155_c0_g2_i2.p1","K00322"
"TRINITY_DN695_c0_g1_i10.p1","K00323"
"TRINITY_DN118437_c0_g1_i1.p1","K00326"
"TRINITY_DN6187_c1_g1_i1.p1","K00327"
"TRINITY_DN342777_c0_g1_i1.p1","K00337"
"TRINITY_DN22942_c0_g1_i1.p1","K00344"
"TRINITY_DN92551_c0_g1_i1.p1","K00351"
"TRINITY_DN463508_c0_g1_i1.p1","K00357"
"TRINITY_DN26309_c0_g2_i1.p1","K00364"
"TRINITY_DN7297_c0_g1_i5.p1","K00381"
"TRINITY_DN6207_c0_g1_i2.p1","K00382"
"TRINITY_DN261277_c0_g1_i2.p1","K00383"
"TRINITY_DN69506_c0_g1_i2.p1","K00387"
"TRINITY_DN6845_c0_g1_i11.p1","K00390"
"TRINITY_DN1588_c0_g4_i1.p1","K00411"
"TRINITY_DN5976_c0_g1_i1.p1","K00412"
"TRINITY_DN832_c0_g2_i15.p1","K00413"
"TRINITY_DN56718_c0_g2_i1.p1","K00414"
"TRINITY_DN35151_c0_g1_i1.p1","K00416"
